"trip_id","arrival_time","departure_time","stop_id","stop_sequence","pickup_type","drop_off_type"
"GO103_25_5","04:51:00","04:51:00","233","3","0","0"
"GO103_25_5","04:59:00","04:59:00","198","4","0","0"
"GO103_25_5","05:16:00","05:16:00","140","5","0","0"
"GO103_25_5","05:23:00","05:23:00","21","6","0","0"
"GO103_25_5","05:30:00","05:30:00","163","7","0","0"
"GO103_25_5","05:37:00","05:37:00","204","8","0","0"
"GO103_25_5","05:41:00","05:41:00","157","9","0","0"
"GO103_25_5","05:45:00","05:45:00","74","10","0","0"
"GO103_25_5","05:49:00","05:49:00","100","11","0","0"
"GO103_25_5","05:54:00","05:54:00","26","12","0","0"
"GO103_25_5","06:00:00","06:00:00","27","13","0","0"
"GO103_25_5","06:37:00","06:38:00","102","14","0","0"
"GO103_25_5","06:56:00","06:56:00","237","15","0","0"
"GO103_25_7","05:39:00","05:39:00","141","1","0","0"
"GO103_25_7","05:59:00","05:59:00","4","2","0","0"
"GO103_25_7","06:04:00","06:04:00","48","3","0","0"
"GO103_25_7","06:14:00","06:14:00","13","4","0","0"
"GO103_25_7","06:28:00","06:28:00","191","5","0","0"
"GO103_25_7","06:38:00","06:38:00","83","6","0","0"
"GO103_25_7","06:47:00","06:47:00","233","7","0","0"
"GO103_25_7","06:54:00","06:54:00","198","8","0","0"
"GO103_25_7","07:11:00","07:11:00","140","9","0","0"
"GO103_25_7","07:18:00","07:18:00","21","10","0","0"
"GO103_25_7","07:25:00","07:25:00","163","11","0","0"
"GO103_25_7","07:32:00","07:32:00","204","12","0","0"
"GO103_25_7","07:48:00","07:48:00","27","13","0","0"
"GO103_25_7","08:07:00","08:07:00","92","14","0","0"
"GO103_25_7","08:15:00","08:15:00","132","15","0","0"
"GO103_25_7","08:30:00","08:32:00","102","16","0","0"
"GO103_25_7","08:48:00","08:48:00","90","17","0","0"
"GO103_25_7","08:57:00","08:57:00","118","18","0","0"
"GO103_25_8","11:39:00","11:41:00","102","1","0","0"
"GO103_25_8","12:20:00","12:20:00","27","2","0","0"
"GO103_25_8","12:26:00","12:26:00","26","3","0","0"
"GO103_25_8","12:35:00","12:35:00","204","4","0","0"
"GO103_25_8","12:43:00","12:43:00","163","5","0","0"
"GO103_25_8","12:49:00","12:49:00","21","6","0","0"
"GO103_25_8","12:56:00","12:56:00","140","7","0","0"
"GO103_25_8","13:12:00","13:12:00","198","8","0","0"
"GO103_25_8","13:24:00","13:24:00","233","9","0","0"
"GO103_25_8","13:33:00","13:33:00","83","10","0","0"
"GO103_25_8","13:43:00","13:43:00","191","11","0","0"
"GO103_25_8","13:51:00","13:51:00","13","12","0","0"
"GO103_25_8","14:01:00","14:01:00","48","13","0","0"
"GO103_25_8","14:06:00","14:06:00","4","14","0","0"
"GO103_25_8","14:26:00","14:26:00","141","15","0","0"
"GO103_25_13","11:29:00","11:29:00","141","1","0","0"
"GO103_25_13","11:49:00","11:49:00","4","2","0","0"
"GO103_25_13","11:54:00","11:54:00","48","3","0","0"
"GO103_25_13","12:04:00","12:04:00","13","4","0","0"
"GO103_25_13","12:13:00","12:13:00","191","5","0","0"
"GO103_25_13","12:23:00","12:23:00","83","6","0","0"
"GO103_25_13","12:33:00","12:33:00","233","7","0","0"
"GO103_25_13","12:46:00","12:46:00","198","8","0","0"
"GO103_25_13","13:01:00","13:01:00","140","9","0","0"
"GO103_25_13","13:08:00","13:08:00","21","10","0","0"
"GO103_25_13","13:15:00","13:15:00","163","11","0","0"
"GO103_25_13","13:22:00","13:22:00","204","12","0","0"
"GO103_25_13","13:27:00","13:27:00","157","13","0","0"
"GO103_25_13","13:32:00","13:32:00","74","14","0","0"
"GO103_25_13","13:36:00","13:36:00","100","15","0","0"
"GO103_25_13","13:41:00","13:41:00","26","16","0","0"
