from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246103524610444+1858101+0,246103524610444+1857509+0,1,
33,33,,,246099524609956+1858112+0,246099524609956+1857539+0,1,
33,33,,,246103524610444+1858138+0,246103524610444+1857585+0,1,
33,33,,,246106024610651+1858138+0,246106024610651+1857585+0,1,
33,33,,,246105924610597+1858139+0,246105924610597+1857586+0,1,
33,33,,,246105124610586+1858154+0,246105124610586+1857619+0,1,
33,33,,,246100924610306+1858156+0,246100924610306+1857620+0,1,
33,33,,,246106624610807+1858218+0,246106624610807+1857696+0,1,
33,33,,,246108824610936+1858219+0,246108824610936+1857697+0,1,
33,33,,,246099624609967+1858241+0,246099624609967+1857728+0,1,
33,33,,,246100924610306+1858246+0,246100924610306+1857733+0,1,
33,33,,,246109424611717+1858247+0,246109424611717+1857734+0,1,
33,33,,,246103524610446+1858267+0,246103524610446+1857773+0,1,
33,33,,,246106024610651+1858267+0,246106024610651+1857773+0,1,
33,33,,,246110024611776+1858267+0,246110024611776+1857773+0,1,
33,33,,,246099624609967+1858279+0,246099624609967+1857805+0,1,
33,33,,,246109424611717+1858305+0,246109424611717+1857850+0,1,
33,33,,,246103524610446+1858306+0,246103524610446+1857851+0,1,
33,33,,,246105924610597+1858307+0,246105924610597+1857852+0,1,
33,33,,,246108724610877+1858307+0,246108724610877+1857852+0,1,
33,33,,,246103524610444+1858326+0,246103524610444+1857881+0,1,
33,33,,,246101024610527+1858345+0,246101024610527+1857910+0,1,
33,33,,,246108824610931+1858346+0,246108824610931+1857911+0,1,
33,33,,,246101024610527+1858354+0,246101024610527+1857920+0,1,
33,33,,,246106024610656+1858355+0,246106024610656+1857921+0,1,
33,33,,,246108724610877+1858356+0,246108724610877+1857922+0,1,
33,33,,,246099724610001+1846635+0,246099724610001+1846344+1,1,
33,33,,,246106124610634+1846635+0,246106124610634+1846344+1,1,
33,33,,,246108924610912+1846635+0,246108924610912+1846344+1,1,
33,33,,,246100624610063+1846637+0,246100424610063+1846344+1,1,
33,33,,,246103224610332+1846638+0,246103224610332+1846346+1,1,
33,33,,,246103924610411+1846638+0,246103924610411+1846346+1,1,
33,33,,,246101124610293+1846648+1,246101124610283+1846369+1,1,
33,33,,,246103224610365+1846648+1,246101524611765+1846370+1,1,
33,33,,,246103924610432+1846648+1,246103924610412+1846372+1,1,
33,33,,,246106124610643+1846648+1,246106124610633+1846369+1,1,
33,33,,,246099224609933+1846660+1,246099224609933+1846376+1,1,
33,33,,,246106124610633+1846660+1,246106124610633+1846376+1,1,
33,33,,,246106724610843+1846660+1,246106724610843+1846376+1,1,
33,33,,,246109524611751+1846660+1,246109524611751+1846376+1,1,
33,33,,,246109524611754+1846660+1,246109524611754+1846376+1,1,
33,33,,,246100424610051+1846660+1,246100424610051+1846381+1,1,
33,33,,,246104624610562+1846660+1,246104624610562+1846381+1,1,
33,33,,,246109524611752+1846660+1,246109524611752+1846381+1,1,
